Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Zn,Y,Zr,Sn,Density293K
0,0.117647105,0.597058798,0.05,0,0,0.185294096,0,0.05,0,0,0,0,0,0,2.410000086
0,0.117647105,0.597058796,0.035294121,0,0,0.185294095,0,0.064705883,0,0,0,0,0,0,2.410000086
0,0.117647105,0.597058798,0.023529411,0,0,0.185294096,0,0.07647059,0,0,0,0,0,0,2.410000086
0,0.117647105,0.597058796,0.01176471,0,0,0.185294095,0,0.088235293,0,0,0,0,0,0,2.400000095
0,0.117647105,0.597058798,0,0,0,0.185294096,0,0.100000001,0,0,0,0,0,0,2.400000095
0,0.117647093,0.588235227,0.117647093,0,0,0.176470587,0,0,0,0,0,0,0,0,2.450000048
0,0.117647096,0.588235242,0.102941191,0,0,0.176470592,0,0.014705879,0,0,0,0,0,0,2.460000038
0,0.117647099,0.588235258,0.088235289,0,0,0.176470596,0,0.029411758,0,0,0,0,0,0,2.460000038
0,0.117647098,0.588235252,0.073529407,0,0,0.176470595,0,0.044117649,0,0,0,0,0,0,2.460000038
0,0.117647099,0.588235255,0.058823525,0,0,0.176470596,0,0.058823525,0,0,0,0,0,0,2.450000048
0,0.117647098,0.588235252,0.044117649,0,0,0.176470595,0,0.073529407,0,0,0,0,0,0,2.450000048
0,0.117647099,0.588235258,0.029411758,0,0,0.176470596,0,0.088235289,0,0,0,0,0,0,2.440000057
0,0.117647104,0.588235281,0.01176471,0,0,0.176470604,0,0.105882301,0,0,0,0,0,0,2.440000057
0,0.117647093,0.588235227,0,0,0,0.176470587,0,0.117647093,0,0,0,0,0,0,2.440000057
0,0.117647104,0.573529396,0.147058802,0,0,0.161764698,0,0,0,0,0,0,0,0,2.49000001
0,0.117647097,0.573529361,0.117647097,0,0,0.161764688,0,0.029411758,0,0,0,0,0,0,2.49000001
0,0.117647102,0.573529385,0.088235291,0,0,0.161764695,0,0.058823527,0,0,0,0,0,0,2.480000019
0,0.117647102,0.573529385,0.058823527,0,0,0.161764695,0,0.088235291,0,0,0,0,0,0,2.480000019
0,0.117647099,0.573529369,0.044117649,0,0,0.16176469,0,0.102941193,0,0,0,0,0,0,2.470000029
0,0.117647097,0.573529361,0.029411758,0,0,0.161764688,0,0.117647097,0,0,0,0,0,0,2.470000029
0,0.117647107,0.573529411,0.01470588,0,0,0.161764702,0,0.132352899,0,0,0,0,0,0,2.460000038
0,0.117647104,0.573529396,0,0,0,0.161764698,0,0.147058802,0,0,0,0,0,0,2.460000038
